"journal_id","account_code","account_name","date","entity_id","entity_name","region","country","currency","fs_subclass","category","normal_balance","financial_statement","debit","credit","amount","display_amount","description","entry_type"
"",1000,Cash and Bank,"2025-01-21 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2262.26,0.0,2262.26,2262.260009765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2262.26,-2262.26,2262.260009765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2542.13,0.0,2542.13,2542.1298828125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-15 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2542.13,-2542.13,2542.1298828125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-06 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3003.76,0.0,3003.76,3003.760009765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3003.76,-3003.76,3003.760009765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4504.76,0.0,4504.76,4504.759765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-02 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4504.76,-4504.76,4504.759765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1572.1,0.0,1572.1,1572.0999755859375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-13 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1572.1,-1572.1,1572.0999755859375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-22 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3660.11,0.0,3660.11,3660.110107421875,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3660.11,-3660.11,3660.110107421875,Revenue,Regular
"",1000,Cash and Bank,"2025-01-22 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3470.96,0.0,3470.96,3470.9599609375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3470.96,-3470.96,3470.9599609375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-14 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2747.32,0.0,2747.32,2747.320068359375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-10 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2747.32,-2747.32,2747.320068359375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-07 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2493.36,0.0,2493.36,2493.360107421875,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2493.36,-2493.36,2493.360107421875,Revenue,Regular
"",1000,Cash and Bank,"2025-01-15 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2883.68,0.0,2883.68,2883.679931640625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-03 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2883.68,-2883.68,2883.679931640625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4186.51,0.0,4186.51,4186.509765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-02 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4186.51,-4186.51,4186.509765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-15 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4141.0,0.0,4141.0,4141.0,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4141.0,-4141.0,4141.0,Revenue,Regular
"",1000,Cash and Bank,"2025-01-05 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3208.75,0.0,3208.75,3208.75,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-25 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3208.75,-3208.75,3208.75,Revenue,Regular
"",1000,Cash and Bank,"2025-01-26 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3801.14,0.0,3801.14,3801.139892578125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-25 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3801.14,-3801.14,3801.139892578125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-02 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1929.08,0.0,1929.08,1929.0799560546875,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1929.08,-1929.08,1929.0799560546875,Revenue,Regular
"",1000,Cash and Bank,"2025-01-19 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2150.05,0.0,2150.05,2150.050048828125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-17 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2150.05,-2150.05,2150.050048828125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-15 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4991.76,0.0,4991.76,4991.759765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-08 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4991.76,-4991.76,4991.759765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-04 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,3836.24,0.0,3836.24,3836.239990234375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-25 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3836.24,-3836.24,3836.239990234375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,4470.14,0.0,4470.14,4470.14013671875,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-01 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4470.14,-4470.14,4470.14013671875,Revenue,Regular
"",1000,Cash and Bank,"2025-01-12 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1710.79,0.0,1710.79,1710.7900390625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-11 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1710.79,-1710.79,1710.7900390625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-26 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1694.56,0.0,1694.56,1694.56005859375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-22 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1694.56,-1694.56,1694.56005859375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-18 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1894.7,0.0,1894.7,1894.699951171875,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1894.7,-1894.7,1894.699951171875,Revenue,Regular
"",1000,Cash and Bank,"2025-01-07 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,1584.26,0.0,1584.26,1584.260009765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-03 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,1584.26,-1584.26,1584.260009765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-26 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2382.51,0.0,2382.51,2382.510009765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-27 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2382.51,-2382.51,2382.510009765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-24 0:00",E101,Global Tech - HQ,North America,United States,USD,Current Assets,Asset,Debit,Balance Sheet,2491.88,0.0,2491.88,2491.8798828125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-23 0:00",E101,Global Tech - HQ,North America,United States,USD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2491.88,-2491.88,2491.8798828125,Revenue,Regular
"",6600,Depreciation Expense,"2025-01-28 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Expenses,Expense,Debit,Income Statement,8333.33,0.0,8333.33,8333.330078125,Depreciation Expense,Regular
"",1850,Accumulated Depreciation,"2025-01-28 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Non-Current Assets,Asset,Credit,Balance Sheet,0.0,8333.33,-8333.33,-8333.330078125,Accrue Depreciation,Regular
"",1000,Cash and Bank,"2025-01-15 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,2768.06,0.0,2768.06,2768.06005859375,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-21 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2768.06,-2768.06,2768.06005859375,Revenue,Regular
"",1000,Cash and Bank,"2025-01-02 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,4662.86,0.0,4662.86,4662.85986328125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-10 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4662.86,-4662.86,4662.85986328125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-07 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,3936.64,0.0,3936.64,3936.639892578125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-25 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3936.64,-3936.64,3936.639892578125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-01 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,4380.85,0.0,4380.85,4380.85009765625,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-26 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4380.85,-4380.85,4380.85009765625,Revenue,Regular
"",1000,Cash and Bank,"2025-01-09 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,2798.64,0.0,2798.64,2798.639892578125,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-05 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,2798.64,-2798.64,2798.639892578125,Revenue,Regular
"",1000,Cash and Bank,"2025-01-14 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,3173.5,0.0,3173.5,3173.5,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-26 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,3173.5,-3173.5,3173.5,Revenue,Regular
"",1000,Cash and Bank,"2025-01-09 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,4248.25,0.0,4248.25,4248.25,Sale,Regular
"",4000,Product Sales Revenue,"2025-01-16 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Operating Revenue,Revenue,Credit,Income Statement,0.0,4248.25,-4248.25,4248.25,Revenue,Regular
"",1000,Cash and Bank,"2025-01-24 0:00",E202,Global Tech - Canada,North America,Canada,CAD,Current Assets,Asset,Debit,Balance Sheet,2682.49,0.0,2682.49,2682.489990234375,Sale,Regular
